raw_word	normalized	zipf_frequency	reason
4º	4º	3.590000	contains_digit
00000000	00000000	3.570000	contains_digit
000k	000k	3.570000	contains_digit
00pm	00pm	3.560000	contains_digit
®	®	3.560000	malformed_after_normalization
█	█	3.560000	malformed_after_normalization
⠀	⠀	3.560000	malformed_after_normalization
co2	co2	3.550000	contains_digit
ps4	ps4	3.550000	contains_digit
😎	😎	3.550000	malformed_after_normalization
m2	m2	3.540000	contains_digit
f1	f1	3.530000	contains_digit
™	™	3.530000	malformed_after_normalization
mcdonald's	mcdonald's	3.520000	malformed_after_normalization
3g	3g	3.510000	contains_digit
😍	😍	3.500000	malformed_after_normalization
😭	😭	3.500000	malformed_after_normalization
000m	000m	3.490000	contains_digit
😉	😉	3.490000	malformed_after_normalization
2da	2da	3.480000	contains_digit
l.a	l.a	3.480000	malformed_after_normalization
0000000	0000000	3.470000	contains_digit
m00	m00	3.470000	contains_digit
4g	4g	3.460000	contains_digit
5º	5º	3.460000	contains_digit
░	░	3.460000	malformed_after_normalization
3a	3a	3.440000	contains_digit
a1	a1	3.440000	contains_digit
♥	♥	3.440000	malformed_after_normalization
1a	1a	3.430000	contains_digit
mp3	mp3	3.430000	contains_digit
🙂	🙂	3.430000	malformed_after_normalization
0000000000	0000000000	3.420000	contains_digit
00km	00km	3.410000	contains_digit
pic.twitter.com	pic.twitter.com	3.410000	malformed_after_normalization
b00	b00	3.400000	contains_digit
🤣	🤣	3.400000	malformed_after_normalization
gif	gif	3.400000	stoplist
000º	000º	3.390000	contains_digit
4to	4to	3.390000	contains_digit
g00	g00	3.390000	contains_digit
can't	can't	3.390000	malformed_after_normalization
o'brien	o'brien	3.390000	malformed_after_normalization
you're	you're	3.390000	malformed_after_normalization
♫	♫	3.390000	malformed_after_normalization
00am	00am	3.380000	contains_digit
3ª	3ª	3.370000	contains_digit
c's	c's	3.360000	malformed_after_normalization
👏	👏	3.350000	malformed_after_normalization
4k	4k	3.340000	contains_digit
x00	x00	3.340000	contains_digit
͜		3.340000	empty
ʖ	ʖ	3.340000	malformed_after_normalization
00mil	00mil	3.330000	contains_digit
that's	that's	3.320000	malformed_after_normalization
00.000.000	00.000.000	3.310000	contains_digit
5to	5to	3.310000	contains_digit
m3	m3	3.300000	contains_digit
c.c	c.c	3.300000	malformed_after_normalization
😘	😘	3.300000	malformed_after_normalization
000p	000p	3.290000	contains_digit
►	►	3.290000	malformed_after_normalization
3ds	3ds	3.280000	contains_digit
ps3	ps3	3.280000	contains_digit
let's	let's	3.280000	malformed_after_normalization
00th	00th	3.270000	contains_digit
4ta	4ta	3.270000	contains_digit
6º	6º	3.270000	contains_digit
a00	a00	3.270000	contains_digit
🔥	🔥	3.270000	malformed_after_normalization
1ro	1ro	3.260000	contains_digit
4a	4a	3.260000	contains_digit
p00	p00	3.260000	contains_digit
c.v	c.v	3.260000	malformed_after_normalization
tod@s	tod@s	3.260000	url_or_email
000000000	000000000	3.250000	contains_digit
00px	00px	3.250000	contains_digit
s00	s00	3.250000	contains_digit
u.s	u.s	3.250000	malformed_after_normalization
000km	000km	3.240000	contains_digit
x2	x2	3.240000	contains_digit
org	org	3.240000	stoplist
2d	2d	3.230000	contains_digit
c00	c00	3.230000	contains_digit
i'll	i'll	3.230000	malformed_after_normalization
p.d	p.d	3.230000	malformed_after_normalization
❤️	❤	3.230000	malformed_after_normalization
000a	000a	3.220000	contains_digit
o'neill	o'neill	3.220000	malformed_after_normalization
s.l	s.l	3.220000	malformed_after_normalization
2x1	2x1	3.210000	contains_digit
a000	a000	3.210000	contains_digit
a2	a2	3.210000	contains_digit
a3	a3	3.200000	contains_digit
3ra	3ra	3.190000	contains_digit
●	●	3.190000	malformed_after_normalization
00b	00b	3.180000	contains_digit
😊	😊	3.180000	malformed_after_normalization
00d	00d	3.170000	contains_digit
00v	00v	3.170000	contains_digit
🎶	🎶	3.170000	malformed_after_normalization
0,000,000	0,000,000	3.160000	contains_digit
0.0000	0.0000	3.160000	contains_digit
0000b	0000b	3.160000	contains_digit
4ª	4ª	3.160000	contains_digit
c.a	c.a	3.160000	malformed_after_normalization
n.º	n.º	3.150000	malformed_after_normalization
👍	👍	3.150000	malformed_after_normalization
00mm	00mm	3.140000	contains_digit
00x00	00x00	3.140000	contains_digit
1ra	1ra	3.140000	contains_digit
4x4	4x4	3.140000	contains_digit
6to	6to	3.140000	contains_digit
r2	r2	3.140000	contains_digit
r.d	r.d	3.140000	malformed_after_normalization
■	■	3.140000	malformed_after_normalization
❤	❤	3.140000	malformed_after_normalization
00c	00c	3.130000	contains_digit
00kg	00kg	3.130000	contains_digit
c3	c3	3.130000	contains_digit
c4	c4	3.130000	contains_digit
tv3	tv3	3.130000	contains_digit
xml	xml	3.130000	stoplist
00cm	00cm	3.120000	contains_digit
s2	s2	3.120000	contains_digit
t00	t00	3.120000	contains_digit
00ºc	00ºc	3.110000	contains_digit
5ª	5ª	3.110000	contains_digit
b2	b2	3.110000	contains_digit
n00	n00	3.110000	contains_digit
i.e	i.e	3.110000	malformed_after_normalization
00.00.0000	00.00.0000	3.100000	contains_digit
00f	00f	3.100000	contains_digit
00p	00p	3.100000	contains_digit
7º	7º	3.100000	contains_digit
b1	b1	3.100000	contains_digit
s3	s3	3.100000	contains_digit
mª	mª	3.100000	malformed_after_normalization
★	★	3.100000	malformed_after_normalization
00gb	00gb	3.090000	contains_digit
5ta	5ta	3.090000	contains_digit
c1	c1	3.090000	contains_digit
km2	km2	3.090000	contains_digit
r00	r00	3.090000	contains_digit
s.m	s.m	3.090000	malformed_after_normalization
s.s	s.s	3.090000	malformed_after_normalization
😁	😁	3.090000	malformed_after_normalization
😔	😔	3.090000	malformed_after_normalization
a4	a4	3.080000	contains_digit
e3	e3	3.080000	contains_digit
what's	what's	3.080000	malformed_after_normalization
jpg	jpg	3.080000	stoplist
000v	000v	3.070000	contains_digit
e00	e00	3.070000	contains_digit
😅	😅	3.070000	malformed_after_normalization
😡	😡	3.070000	malformed_after_normalization
0000a	0000a	3.060000	contains_digit
f00	f00	3.060000	contains_digit
i've	i've	3.060000	malformed_after_normalization
😀	😀	3.060000	malformed_after_normalization
www	www	3.060000	stoplist
0.000,00	0.000,00	3.050000	contains_digit
0000p	0000p	3.050000	contains_digit
v8	v8	3.050000	contains_digit
j.j	j.j	3.050000	malformed_after_normalization
☁️	☁	3.050000	malformed_after_normalization
1o	1o	3.040000	contains_digit
c2	c2	3.040000	contains_digit
d00	d00	3.040000	contains_digit
o'donnell	o'donnell	3.040000	malformed_after_normalization
🙄	🙄	3.040000	malformed_after_normalization
0,0000	0,0000	3.030000	contains_digit
00'00	00'00	3.030000	contains_digit
c.p	c.p	3.030000	malformed_after_normalization
gmail.com	gmail.com	3.030000	malformed_after_normalization
l@s	l@s	3.030000	url_or_email
salu2	salu2	3.020000	contains_digit
u.u	u.u	3.020000	malformed_after_normalization
ツ	ツ	3.020000	malformed_after_normalization
5a	5a	3.010000	contains_digit
c5n	c5n	3.010000	contains_digit
p2p	p2p	3.010000	contains_digit
в	в	3.010000	malformed_after_normalization
000mil	000mil	3.000000	contains_digit
nº1	nº1	3.000000	contains_digit
newell's	newell's	3.000000	malformed_after_normalization
😢	😢	3.000000	malformed_after_normalization
8º	8º	2.990000	contains_digit
f.c	f.c	2.990000	malformed_after_normalization
0,0,0	0,0,0	2.980000	contains_digit
00.00.00	00.00.00	2.980000	contains_digit
u2	u2	2.980000	contains_digit
j.m	j.m	2.980000	malformed_after_normalization
o.o	o.o	2.980000	malformed_after_normalization
00e	00e	2.970000	contains_digit
00h00	00h00	2.970000	contains_digit
00min	00min	2.970000	contains_digit
m1	m1	2.970000	contains_digit
e.u	e.u	2.970000	malformed_after_normalization
s.h.i.e.l.d	s.h.i.e.l.d	2.970000	malformed_after_normalization
ºc	ºc	2.970000	malformed_after_normalization
и	и	2.970000	malformed_after_normalization
😈	😈	2.970000	malformed_after_normalization
1m	1m	2.960000	contains_digit
2o	2o	2.960000	contains_digit
2x	2x	2.960000	contains_digit
j00	j00	2.960000	contains_digit
p2	p2	2.960000	contains_digit
v00	v00	2.960000	contains_digit
p.e	p.e	2.960000	malformed_after_normalization
there's	there's	2.960000	malformed_after_normalization
women's	women's	2.960000	malformed_after_normalization
♦	♦	2.960000	malformed_after_normalization
2k	2k	2.950000	contains_digit
9º	9º	2.950000	contains_digit
eldiario.es	eldiario.es	2.950000	malformed_after_normalization
m.a	m.a	2.950000	malformed_after_normalization
6ª	6ª	2.940000	contains_digit
o'connor	o'connor	2.940000	malformed_after_normalization
p.ej	p.ej	2.940000	malformed_after_normalization
🎺	🎺	2.940000	malformed_after_normalization
👀	👀	2.940000	malformed_after_normalization
00o	00o	2.930000	contains_digit
5k	5k	2.930000	contains_digit
change.org	change.org	2.930000	malformed_after_normalization
✓	✓	2.930000	malformed_after_normalization
🎵	🎵	2.930000	malformed_after_normalization
png	png	2.930000	stoplist
l2	l2	2.920000	contains_digit
o2	o2	2.920000	contains_digit
u00	u00	2.920000	contains_digit
v2	v2	2.920000	contains_digit
x1	x1	2.920000	contains_digit
💪	💪	2.920000	malformed_after_normalization
000.000.000	000.000.000	2.910000	contains_digit
g2	g2	2.910000	contains_digit
l00	l00	2.910000	contains_digit
t2	t2	2.910000	contains_digit
b.c	b.c	2.910000	malformed_after_normalization
✅	✅	2.910000	malformed_after_normalization
00g	00g	2.900000	contains_digit
00n	00n	2.900000	contains_digit
1ero	1ero	2.900000	contains_digit
3m	3m	2.900000	contains_digit
s4	s4	2.900000	contains_digit
j.c	j.c	2.900000	malformed_after_normalization
u.s.a	u.s.a	2.900000	malformed_after_normalization
won't	won't	2.900000	malformed_after_normalization
═	═	2.900000	malformed_after_normalization
00j	00j	2.890000	contains_digit
1h	1h	2.890000	contains_digit
1k	1k	2.890000	contains_digit
2b	2b	2.890000	contains_digit
6a	6a	2.890000	contains_digit
nº00	nº00	2.890000	contains_digit
x3	x3	2.890000	contains_digit
ain't	ain't	2.890000	malformed_after_normalization
😏	😏	2.890000	malformed_after_normalization
😤	😤	2.890000	malformed_after_normalization
0.0.0.0	0.0.0.0	2.880000	contains_digit
000w	000w	2.880000	contains_digit
3ro	3ro	2.880000	contains_digit
p1	p1	2.880000	contains_digit
ps2	ps2	2.880000	contains_digit
t1	t1	2.880000	contains_digit
didn't	didn't	2.880000	malformed_after_normalization
we're	we're	2.880000	malformed_after_normalization
😆	😆	2.880000	malformed_after_normalization
5g	5g	2.870000	contains_digit
7ª	7ª	2.870000	contains_digit
d2	d2	2.870000	contains_digit
g4	g4	2.870000	contains_digit
a.j	a.j	2.870000	malformed_after_normalization
◕	◕	2.870000	malformed_after_normalization
00.00h	00.00h	2.860000	contains_digit
000g	000g	2.860000	contains_digit
m000	m000	2.860000	contains_digit
sub00	sub00	2.860000	contains_digit
☆	☆	2.860000	malformed_after_normalization
h1n1	h1n1	2.850000	contains_digit
s1	s1	2.850000	contains_digit
s8	s8	2.850000	contains_digit
www.facebook.com	www.facebook.com	2.850000	url_or_email
0000.0	0000.0	2.840000	contains_digit
4t	4t	2.840000	contains_digit
e.g	e.g	2.840000	malformed_after_normalization
he's	he's	2.840000	malformed_after_normalization
she's	she's	2.840000	malformed_after_normalization
✔	✔	2.840000	malformed_after_normalization
😱	😱	2.840000	malformed_after_normalization
5s	5s	2.830000	contains_digit
7mo	7mo	2.830000	contains_digit
e.e.u.u	e.e.u.u	2.830000	malformed_after_normalization
o'reilly	o'reilly	2.830000	malformed_after_normalization
p.s	p.s	2.830000	malformed_after_normalization
s.o.s	s.o.s	2.830000	malformed_after_normalization
♡	♡	2.830000	malformed_after_normalization
0000s	0000s	2.820000	contains_digit
6pm	6pm	2.820000	contains_digit
7am	7am	2.820000	contains_digit
f5	f5	2.820000	contains_digit
s7	s7	2.820000	contains_digit
www.youtube.com	www.youtube.com	2.820000	url_or_email
000b	000b	2.810000	contains_digit
000c	000c	2.810000	contains_digit
000cc	000cc	2.810000	contains_digit
3am	3am	2.810000	contains_digit
4d	4d	2.810000	contains_digit
8ª	8ª	2.810000	contains_digit
h2o	h2o	2.810000	contains_digit
x000	x000	2.810000	contains_digit
j.a	j.a	2.810000	malformed_after_normalization
o_o	o_o	2.810000	malformed_after_normalization
q.e.p.d	q.e.p.d	2.810000	malformed_after_normalization
с	с	2.810000	malformed_after_normalization
1b	1b	2.800000	contains_digit
2m	2m	2.800000	contains_digit
d3	d3	2.800000	contains_digit
g3	g3	2.800000	contains_digit
g5	g5	2.800000	contains_digit
l1	l1	2.800000	contains_digit
r1	r1	2.800000	contains_digit
bit.ly	bit.ly	2.800000	malformed_after_normalization
c.f	c.f	2.800000	malformed_after_normalization
ω	ω	2.800000	malformed_after_normalization
00x	00x	2.790000	contains_digit
1era	1era	2.790000	contains_digit
6am	6am	2.790000	contains_digit
c000	c000	2.790000	contains_digit
c5	c5	2.790000	contains_digit
e.u.a	e.u.a	2.790000	malformed_after_normalization
j.r	j.r	2.790000	malformed_after_normalization
🌊	🌊	2.790000	malformed_after_normalization
1s	1s	2.780000	contains_digit
6s	6s	2.780000	contains_digit
b000	b000	2.780000	contains_digit
d1	d1	2.780000	contains_digit
e1	e1	2.780000	contains_digit
ph.d	ph.d	2.780000	malformed_after_normalization
▪	▪	2.780000	malformed_after_normalization
2g	2g	2.770000	contains_digit
2pm	2pm	2.770000	contains_digit
2x00	2x00	2.770000	contains_digit
8am	8am	2.770000	contains_digit
g1	g1	2.770000	contains_digit
i3	i3	2.770000	contains_digit
i5	i5	2.770000	contains_digit
c.d	c.d	2.770000	malformed_after_normalization
man's	man's	2.770000	malformed_after_normalization
t.v	t.v	2.770000	malformed_after_normalization
¦	¦	2.770000	malformed_after_normalization
😄	😄	2.770000	malformed_after_normalization
🙏	🙏	2.770000	malformed_after_normalization
00l	00l	2.760000	contains_digit
8pm	8pm	2.760000	contains_digit
9am	9am	2.760000	contains_digit
i7	i7	2.760000	contains_digit
s6	s6	2.760000	contains_digit
bs.as	bs.as	2.760000	malformed_after_normalization
people's	people's	2.760000	malformed_after_normalization
s.e	s.e	2.760000	malformed_after_normalization
5o	5o	2.750000	contains_digit
a5	a5	2.750000	contains_digit
i00	i00	2.750000	contains_digit
v6	v6	2.750000	contains_digit
s.r.l	s.r.l	2.750000	malformed_after_normalization
💯	💯	2.750000	malformed_after_normalization
0,000.00	0,000.00	2.740000	contains_digit
000gb	000gb	2.740000	contains_digit
1x00	1x00	2.740000	contains_digit
3era	3era	2.740000	contains_digit
4pm	4pm	2.740000	contains_digit
7a	7a	2.740000	contains_digit
8a	8a	2.740000	contains_digit
g6	g6	2.740000	contains_digit
w00	w00	2.740000	contains_digit
ff.aa	ff.aa	2.740000	malformed_after_normalization
pa'l	pa'l	2.740000	malformed_after_normalization
twitter.com	twitter.com	2.740000	malformed_after_normalization
🎄	🎄	2.740000	malformed_after_normalization
💕	💕	2.740000	malformed_after_normalization
😩	😩	2.740000	malformed_after_normalization
000s	000s	2.730000	contains_digit
00y	00y	2.730000	contains_digit
7pm	7pm	2.730000	contains_digit
h00	h00	2.730000	contains_digit
k00	k00	2.730000	contains_digit
mp4	mp4	2.730000	contains_digit
n1	n1	2.730000	contains_digit
r5	r5	2.730000	contains_digit
dd.hh	dd.hh	2.730000	malformed_after_normalization
goo.gl	goo.gl	2.730000	malformed_after_normalization
i'd	i'd	2.730000	malformed_after_normalization
j.b	j.b	2.730000	malformed_after_normalization
n.y	n.y	2.730000	malformed_after_normalization
▒	▒	2.730000	malformed_after_normalization
😋	😋	2.730000	malformed_after_normalization
🤤	🤤	2.730000	malformed_after_normalization
000mm	000mm	2.720000	contains_digit
l3	l3	2.720000	contains_digit
z00	z00	2.720000	contains_digit
s.c	s.c	2.720000	malformed_after_normalization
ø	ø	2.720000	malformed_after_normalization
α	α	2.720000	malformed_after_normalization
│	│	2.720000	malformed_after_normalization
▄	▄	2.720000	malformed_after_normalization
😠	😠	2.720000	malformed_after_normalization
5pm	5pm	2.710000	contains_digit
9ª	9ª	2.710000	contains_digit
f000	f000	2.710000	contains_digit
h2	h2	2.710000	contains_digit
l000	l000	2.710000	contains_digit
n2	n2	2.710000	contains_digit
p000	p000	2.710000	contains_digit
x5	x5	2.710000	contains_digit
j.d	j.d	2.710000	malformed_after_normalization
00hrs	00hrs	2.700000	contains_digit
3b	3b	2.700000	contains_digit
3k	3k	2.700000	contains_digit
3pm	3pm	2.700000	contains_digit
6ta	6ta	2.700000	contains_digit
v1	v1	2.700000	contains_digit
💦	💦	2.700000	malformed_after_normalization
1'00	1'00	2.690000	contains_digit
2am	2am	2.690000	contains_digit
b3	b3	2.690000	contains_digit
t5	t5	2.690000	contains_digit
e.e	e.e	2.690000	malformed_after_normalization
o'connell	o'connell	2.690000	malformed_after_normalization
victoria's	victoria's	2.690000	malformed_after_normalization
━	━	2.690000	malformed_after_normalization
👊	👊	2.690000	malformed_after_normalization
000kg	000kg	2.680000	contains_digit
00r	00r	2.680000	contains_digit
2h	2h	2.680000	contains_digit
8vo	8vo	2.680000	contains_digit
9a	9a	2.680000	contains_digit
s000	s000	2.680000	contains_digit
t3	t3	2.680000	contains_digit
00,000.00	00,000.00	2.670000	contains_digit
2c	2c	2.670000	contains_digit
s5	s5	2.670000	contains_digit
j.p	j.p	2.670000	malformed_after_normalization
king's	king's	2.670000	malformed_after_normalization
o'leary	o'leary	2.670000	malformed_after_normalization
▀	▀	2.670000	malformed_after_normalization
0.0m	0.0m	2.660000	contains_digit
0000m	0000m	2.660000	contains_digit
4s	4s	2.660000	contains_digit
5am	5am	2.660000	contains_digit
9mm	9mm	2.660000	contains_digit
a6	a6	2.660000	contains_digit
p3	p3	2.660000	contains_digit
x4	x4	2.660000	contains_digit
e.t	e.t	2.660000	malformed_after_normalization
index.php	index.php	2.660000	malformed_after_normalization
k.o	k.o	2.660000	malformed_after_normalization
moody's	moody's	2.660000	malformed_after_normalization
s.j	s.j	2.660000	malformed_after_normalization
😛	😛	2.660000	malformed_after_normalization
😥	😥	2.660000	malformed_after_normalization
🤗	🤗	2.660000	malformed_after_normalization
🤷🏻‍♂️	🤷🏻‍♂	2.660000	malformed_after_normalization
4am	4am	2.650000	contains_digit
assassin's	assassin's	2.650000	malformed_after_normalization
cd's	cd's	2.650000	malformed_after_normalization
d.o	d.o	2.650000	malformed_after_normalization
j.l	j.l	2.650000	malformed_after_normalization
☺	☺	2.650000	malformed_after_normalization
😒	😒	2.650000	malformed_after_normalization
😳	😳	2.650000	malformed_after_normalization
jpeg	jpeg	2.650000	stoplist
000mg	000mg	2.640000	contains_digit
k2	k2	2.640000	contains_digit
m4	m4	2.640000	contains_digit
t4	t4	2.640000	contains_digit
amazon.com	amazon.com	2.640000	malformed_after_normalization
d.l	d.l	2.640000	malformed_after_normalization
isn't	isn't	2.640000	malformed_after_normalization
t.c	t.c	2.640000	malformed_after_normalization
👉	👉	2.640000	malformed_after_normalization
💰	💰	2.640000	malformed_after_normalization
😝	😝	2.640000	malformed_after_normalization
00.0.0	00.0.0	2.630000	contains_digit
000d	000d	2.630000	contains_digit
1pm	1pm	2.630000	contains_digit
f4	f4	2.630000	contains_digit
g8	g8	2.630000	contains_digit
a.k.a	a.k.a	2.630000	malformed_after_normalization
n.n	n.n	2.630000	malformed_after_normalization
000x	000x	2.620000	contains_digit
00minutos.es	00minutos.es	2.620000	contains_digit
3c	3c	2.620000	contains_digit
3x	3x	2.620000	contains_digit
cop00	cop00	2.620000	contains_digit
html5	html5	2.620000	contains_digit
i.a	i.a	2.620000	malformed_after_normalization
o'neil	o'neil	2.620000	malformed_after_normalization
p.p	p.p	2.620000	malformed_after_normalization
на	на	2.620000	malformed_after_normalization
┻	┻	2.620000	malformed_after_normalization
□	□	2.620000	malformed_after_normalization
😜	😜	2.620000	malformed_after_normalization
000i	000i	2.610000	contains_digit
00mg	00mg	2.610000	contains_digit
4b	4b	2.610000	contains_digit
5m	5m	2.610000	contains_digit
l4	l4	2.610000	contains_digit
♬	♬	2.610000	malformed_after_normalization
👅	👅	2.610000	malformed_after_normalization
00mb	00mb	2.600000	contains_digit
4o	4o	2.600000	contains_digit
g000	g000	2.600000	contains_digit
ipv6	ipv6	2.600000	contains_digit
q00	q00	2.600000	contains_digit
t000	t000	2.600000	contains_digit
v3	v3	2.600000	contains_digit
you'll	you'll	2.600000	malformed_after_normalization
🤢	🤢	2.600000	malformed_after_normalization
00de	00de	2.590000	contains_digit
3o	3o	2.590000	contains_digit
cd4	cd4	2.590000	contains_digit
e000	e000	2.590000	contains_digit
los00	los00	2.590000	contains_digit
mi6	mi6	2.590000	contains_digit
r3	r3	2.590000	contains_digit
doesn't	doesn't	2.590000	malformed_after_normalization
n.l	n.l	2.590000	malformed_after_normalization
№	№	2.590000	malformed_after_normalization
▲	▲	2.590000	malformed_after_normalization
🤷‍♂️	🤷‍♂	2.590000	malformed_after_normalization
00.0000	00.0000	2.580000	contains_digit
000mb	000mb	2.580000	contains_digit
000x000	000x000	2.580000	contains_digit
00mo	00mo	2.580000	contains_digit
1oo	1oo	2.580000	contains_digit
2nd	2nd	2.580000	contains_digit
2s	2s	2.580000	contains_digit
8m	8m	2.580000	contains_digit
g7	g7	2.580000	contains_digit
h4	h4	2.580000	contains_digit
l5	l5	2.580000	contains_digit
m.d	m.d	2.580000	malformed_after_normalization
p.c	p.c	2.580000	malformed_after_normalization
🎉	🎉	2.580000	malformed_after_normalization
00.000,00	00.000,00	2.570000	contains_digit
3rd	3rd	2.570000	contains_digit
5x	5x	2.570000	contains_digit
elecciones0000	elecciones0000	2.570000	contains_digit
r4	r4	2.570000	contains_digit
a.a	a.a	2.570000	malformed_after_normalization
a.d	a.d	2.570000	malformed_after_normalization
c.b	c.b	2.570000	malformed_after_normalization
grey's	grey's	2.570000	malformed_after_normalization
μg	μg	2.570000	malformed_after_normalization
✌	✌	2.570000	malformed_after_normalization
✨	✨	2.570000	malformed_after_normalization
💜	💜	2.570000	malformed_after_normalization
00,000,000	00,000,000	2.560000	contains_digit
0000,0000	0000,0000	2.560000	contains_digit
000l	000l	2.560000	contains_digit
1d	1d	2.560000	contains_digit
f2	f2	2.560000	contains_digit
h1	h1	2.560000	contains_digit
m5	m5	2.560000	contains_digit
v0.0	v0.0	2.560000	contains_digit
c.i	c.i	2.560000	malformed_after_normalization
m.j	m.j	2.560000	malformed_after_normalization
you've	you've	2.560000	malformed_after_normalization
β	β	2.560000	malformed_after_normalization
▼	▼	2.560000	malformed_after_normalization
🇲🇽	🇲🇽	2.560000	malformed_after_normalization
💋	💋	2.560000	malformed_after_normalization
000f	000f	2.550000	contains_digit
1c	1c	2.550000	contains_digit
3s	3s	2.550000	contains_digit
4gb	4gb	2.550000	contains_digit
4x	4x	2.550000	contains_digit
9pm	9pm	2.550000	contains_digit
😕	😕	2.550000	malformed_after_normalization
amig@s	amig@s	2.550000	url_or_email
un@	un@	2.550000	url_or_email
000ml	000ml	2.540000	contains_digit
1kg	1kg	2.540000	contains_digit
3l	3l	2.540000	contains_digit
7ma	7ma	2.540000	contains_digit
antena3	antena3	2.540000	contains_digit
c.j	c.j	2.540000	malformed_after_normalization
d.a	d.a	2.540000	malformed_after_normalization
dj's	dj's	2.540000	malformed_after_normalization
╯	╯	2.540000	malformed_after_normalization
😃	😃	2.540000	malformed_after_normalization
a7	a7	2.530000	contains_digit
cr7	cr7	2.530000	contains_digit
e2	e2	2.530000	contains_digit
ibex00	ibex00	2.530000	contains_digit
yosoy000	yosoy000	2.530000	contains_digit
who's	who's	2.530000	malformed_after_normalization
а	а	2.530000	malformed_after_normalization
○	○	2.530000	malformed_after_normalization
♥️	♥	2.530000	malformed_after_normalization
👌🏻	👌🏻	2.530000	malformed_after_normalization
5c	5c	2.520000	contains_digit
b5	b5	2.520000	contains_digit
q3	q3	2.520000	contains_digit
devil's	devil's	2.520000	malformed_after_normalization
eto'o	eto'o	2.520000	malformed_after_normalization
l.o	l.o	2.520000	malformed_after_normalization
ong's	ong's	2.520000	malformed_after_normalization
😞	😞	2.520000	malformed_after_normalization
0.0.00	0.0.00	2.510000	contains_digit
00años	00años	2.510000	contains_digit
00fps	00fps	2.510000	contains_digit
3x3	3x3	2.510000	contains_digit
a8	a8	2.510000	contains_digit
b6	b6	2.510000	contains_digit
q2	q2	2.510000	contains_digit
j.k	j.k	2.510000	malformed_after_normalization
o.c	o.c	2.510000	malformed_after_normalization
🔸	🔸	2.510000	malformed_after_normalization
🙌	🙌	2.510000	malformed_after_normalization
00minutos	00minutos	2.500000	contains_digit
2gb	2gb	2.500000	contains_digit
4m	4m	2.500000	contains_digit
f3	f3	2.500000	contains_digit
levi's	levi's	2.500000	malformed_after_normalization
m.c	m.c	2.500000	malformed_after_normalization
